reviewerId,atmosphere_id
mRCwd6txp-Hn49oHfPPvag,11
107912773137386330171,26
107912773137386330171,26
105298272966595602312,6
106587984882202492908,6
113433040965173753840,6
97D11AEAD32C0001704991D1A81EBD05,12
6A979D8F24A93D17450ABFEFA63BDE9C,11
6A979D8F24A93D17450ABFEFA63BDE9C,23
105805876202346968947,24
114681449965195615053,6
100753136381881455978,1
100753136381881455978,23
1A97DA6B2543EEEFFC9B0D8854DD1F9C,11
CAA55484E94B8C532C7F4B6A43E1EEF3,23
CAA55484E94B8C532C7F4B6A43E1EEF3,24
108906570769780837907,3
104676310753772665650,27
7A23568A8C1A501C6525F5325D5E8ED6,19
113111630521258145372,21
6FE24EA674F476D30603307E8E756F09,23
100714113976242265916,6
111272630128467427538,22
116107307618451278964,24
E82E80BCCC0356D1A05EC748B5095144,12
gVyhQWM0KF1w4D43sjE0yA,6
111444922497142186886,24
FF1D220BEC80D215AB1AADC6BA42001D,26
90BE245A77C539182B3E004EEAFD4F25,1
102337266384414389895,2
D670876946D31D0D5FE6BE1680BA55B9,26
D670876946D31D0D5FE6BE1680BA55B9,26
72AF28F7CEF917C7383C6365B5E3B055,4
ABFB6AB99A534976005A60F33D411A51,16
CFB7AD47D11C3B8B514C9DADC3B7033C,3
107479987302821355215,6
116430039736210687540,29
BF9E3196C8872860BB4BB66040F0F854,6
114812395529614842738,12
101198532300986079710,30
108193860919413611101,12
E8597FE0DA9CC788E536B538768F55B4,23
1D4F7556C44AD464EEE502462474EA61,12
8D2A7F7470BF8B73B67960684A57A726,21
104353760341013673432,6
109442808914688186210,6
536B695C64E1B9B25EFA75D88953E7F6,30
117427771682362186316,21
117427771682362186316,21
16518E45A1753BE78CDD0CD347CB6B86,20
AF042B1ABD00E152BE4314A669EAFB38,21
7075AC557CCBD64E4742D662F140DE4B,26
C53B6E8658B4E5D046543554E563B92B,21
C53B6E8658B4E5D046543554E563B92B,21
112392021541293841653,23
104976902968287088309,6
2E7BC5E7F4DCB05474D6873E5BC7E0FE,21
115634587584620069076,6
66CA98AD5CAA654B98BEC0671A50BA76,2
101870489503620015465,11
369D4A7F1D213E56BE770390A5E7EFC7,11
30CD2EFA0E3F67594CE8A8F631A28328,12
D3B0480F81324E9617AA758A29B1B4E6,13
113464226738815675071,6
117162107233995127440,5
110808432600699705401,9
110808432600699705401,10
351184754594436E22C4262967927639,4
AF379EE31A50441695A3B0EADCC30EB7,27
18F6CDE428FB4FBB831D65A50A4454CF,4
107798225930502941781,11
7FC03F7932A83FA30480EEEB61E03C85,25
AE0D72D55B9F6A9393EB8A2391E8981A,24
93112502AB86A5A8A312C3B128A09C5E,11
1D60E8B65A9E9B7101AD2BF1D35592F9,3
006714A14E3F01BF4AFA87FC9FB57099,6
A0913EFE9BF28FF08BC197BE3731CBF4,6
uX-zwFV4nuKyLlQvaai7Sg,23
647DF4D87FBADA858CCAE0A11F6A18F9,20
A07746CF322F5517C49A300506B83784,21
A07746CF322F5517C49A300506B83784,21
A07746CF322F5517C49A300506B83784,21
5D3CEB516C42E8B712F5909F89DB92FA,21
E6249CED15DF1C8D8439EAA2FAB16791,27
27B1F81ED845CBAB3F7072DE712493F1,29
E3B657D964164B8D4103617CB7E9E8EB,11
A38D3E09414A2EE4B82A68B6B8C69310,6
4E1F6125CA8657A2878FE7E01326F624,11
4E1F6125CA8657A2878FE7E01326F624,8
619A55EF664AD99B5505311E23C23E71,21
619A55EF664AD99B5505311E23C23E71,21
106874270431130218842,12
106520785790341518884,17
9889FC4EFD125FA2531BF265C375FB8F,30
103820250820885931293,2
A849D2011F32D64B4AD66CCD5914C466,26
110584331070565833743,8
103107588155486453881,26
103107588155486453881,11
DE4FD3F5E9F0136359B32CE9ACCABBBC,30
3HzwMN86uxTF93kCoME3rw,23
