merge_id,biz_name
3627615967297717e3,Els 4Gats
3662869186100142e3,Pirineu En Boca
3663058295632737300,Sensi Tapas
3668223824522422e3,Igueldo
369030610092873e4,Rincon Persa
369159703481029e4,Bacoa Burger Barceloneta | Hamburgueseria A
3718952937124587e3,Comida De Olla
3802842669140547e3,Bodega La Puntual
3807559835660814300,Ramen House Izakaya
3812450285082243e3,Bo De Gracia
3826110736487914500,La Paradeta
3837734472733509600,El Quim De La Boqueria
3878471872339612e3,Salt
3936568754226657e3,Bodega Colibri
3953926380055931400,Blu
3958541830221768e3,Cremat 11
396186257077972e4,Teleferic
4024081624452805e3,Sartoria Panatieri Gracia
4041093050657842e3,Ten S Tapes
4071209025463788500,El Viti Taberna
4083022180252749300,Bodega Valls
4131995039523416e3,Kimchi Mama
4147283271984732700,La Piemontesa
4159597097869921300,Kame House Kitchen BCN
4212786916554793e3,Pampero
4226373426860823600,Ramen-Ya Hiro
4278818433572188e3,Firebug
4282801845833658400,Gelaaati Di Marco
4296673391546103e3,La Llama
4396859708849647600,Pepa A Vins
4421849723265939500,OGGI Officina Gelato Gusto Italiano
4441279015453025e3,Eclipse
445281913808282e4,Galu Italiano
4493214829073929700,La Mezcla
4509048890778068e3,Bestial
4515547425628099e3,Pilar Taperia
4544795820445753300,Akashi Gallery
4561075587674811400,Tropico Brunch
4567479107188079600,El Porvenir
4569204729484557300,La Cereria
4576335018106171400,L Encant Vegetaria
4581711276113694e3,Xavier Pellicer
4594633073452879e3,Sintonia
4649727708288897e3,Gasterea
4652786751642454e3,El Clot
467794131503417e4,Melo Jia
4707340726775955e3,Dual Cafe
4749098111558958e3,We Love Italy
4801545272550724e3,Eixampeling Brunch Cafe &
4802622573024306e3,Conesa Entrepans
4813240151423605e3,Los Pergaminos
4823330564764635e3,La Taula
486914216801359e4,Federal
4883072868047378e3,La Malandrina
4899266168369878e3,Le Romane
4914598869880699e3,Moments
4918007551557747e3,Avenir
5000847439427201e3,Guell
5025828713509546e3,Takumi Ramen
502930942967572e4,La Tagliatella
5056474175393947e3,Pappa E Citti
5093172594918512e3,Somorrostro
510288646448332e4,Gresca
5124988231204092e3,BierCaB
5177943622624125e3,La Palmera
5180084205948147e3,La Hacienda
5188615458030591e3,Tamara
5195942236299637e3,Hiraya
5250357385206665e3,L Olive
5278840734005659e3,Bo Kaap
5282408362475563e3,Buon Appetito
5304647015018922e3,La Catalista
5304946126734046e3,Assunta Madre
5349312807889493e3,Velissima
5447930418398711e3,Bodega Quimet
5493919454596385e3,Insolita Gea
5510859541300018e3,Verne
5532419398051873e3,KFC
5534814460662135e3,Garlana
5576883920837245e3,The Green Spot
5625815911934637e3,Don Kilo Italian Pizza DONKILO
5679350108257501e3,Spice Cafe
5679476552482189e3,Mutenroshi Ramen
5682474018887778e3,Tosca
5699380037268327e3,Lolita Taperia
5722772033988647e3,False
572325307617682e4,Las Mananitas Tex Mex BCN
5745328815440586e3,Cadaques
5747447659012484e3,Croq & Roll
5826968472749102e3,A Familia
5827339744476083e3,Lluna D Istambul
5845615680463194e3,El Mercat Tapas Barceloneta
5855306067276526e3,La Selva
5869825519775986e3,The Benedict
5894863832199268e3,Little Bacoa | Hamburgueseria En
5906289962813422e3,Catalunya
5924479613987088e3,My Fucking Restaurant
5970232387422024e3,Pinotxo
5984547012276564e3,Mano Rota
6003732155128199e3,La Braseria Argentina Iguazu
6007561697321726e3,La Hamaca
6029663934145786e3,Kabul Rastorant
6076319159468963e3,Top Wok
6138917341627935e3,Lascar 74
6144007023462097e3,Los Caracoles
6156102901408289e3,Casa Carmen
6196941596170096e3,SALT
6201102843091939e3,Casa Alfonso
6225004564511807e3,Billy Brunch
6226017923567409e3,Pizza Via
623665156431574e4,La Llimona
6246838583619987e3,The Home
625947603705092e4,Taverna Iberia
6276746229819936e3,Parking Pizza
6292877576424378e3,Rodrigo
6298852493391248e3,Louro Do Centro Galego
6300271329276407e3,EatMyTrip Brunch & Bakery
6358085902264206e3,Pasta Madre Tallers
