tag_id,food
HU90jm17ay,pastry
KW17ll37tm,chocolate
YB09la23xy,cocktails
NX05tu19za,croissant
OL83vo19re,ham croquettes
YL65st33by,tomato
RO49yk22dm,meat
CX33tq55iu,scallops
GB90qq06uf,mashed peas
IY82ul09qf,huevo
XS11ln95ll,steak
QZ02tw38ej,sangria
RS84zi69tr,bacon
OP79kz74vn,pastas
HD37ww46vs,cheesecake
ZX63nj86cf,soup
RU03fy78va,vegetable soup
AM25ww95ck,sake
TF62rz82rr,plum wine
IG43jh93wp,beef
DK01ys56gf,dishes
KJ84am19vg,salat
DD88mh87ip,tuna
GM17kv38qf,fruits
GW45lf61zh,granola
BL79os95mm,cheese croquettes
UD89zd79fx,tortilla chips
OF20ai01in,caesar salad
DT17wx95im,bread
XJ65fa77uj,salad
RC00vk43dx,carrot
JH19ic23gh,tartar
VL75uj44ue,calamari
VV02kf08od,prawns
UL17hs00zt,potatoes
TQ48cn27pc,risotto
SA34ed43gc,zucchini
MF04jv16ed,sandwich
JP68mi01xy,paella
JC15sd78fv,tagliatelle
GR47mo21oy,wine
KU44xc56gh,sauces
CL72ck06wm,caracoles
ZX42sk72tk,mushroom
XE49vb15oq,green salad
DQ95sq86yt,hummus
IR69ln55bv,pina colada
IE79hn52lz,daiquiri
UC62cx65cq,warm
MN74bw45pi,brandy
PI99tb78vf,fig
MY44ja93qm,chicken
MX57bb62fz,squid
XP94sl44jr,sausage
KD28uo41ha,ham
YH96ae18id,steak tartar
BY24zd51kb,tomate
SD95xl05tv,starters
OY24cn16dh,pasta
PK25fa99ig,pizza
QI80pv06xw,cake
IF82qz94uc,garlic
JZ76dq73uw,noodle
EC66ga90xp,pancakes
DR56zl60pn,hot chocolate
QX98vh46vy,melted cheese
RT05xd92hf,cheese
NR14fx57dd,potato
VU11jb36et,king crab
ZL89ch25fx,white beans
IK43qt22bt,brioche
AE44ma64wd,ravioli
VG97zk60gh,raspberry sorbet
GB24jk51by,beverages
GT95ne03du,tomato sauce
WM00ek19dn,fried sardines
KG98pt02aj,fried calamari
CK62fk19rn,soy sauce
OF31dl92pb,custard
LF47lp97at,fried artichokes
NJ98ew21yy,hamburger
QJ93fo84gd,salt
JN02sc46ir,mashed potatoes
TF94wz47it,shrimps
KG97uq87ad,beers
QE29mu45qy,fried egg
WT48no80ko,york ham
RQ29fs64jq,drink
JN41qf18ta,fried ham
WP71vc60qt,marinara sauce
VI56ex46gx,rice
SG55vh37jq,salami
PM92gn41bc,fettuccine
GO02rv59zj,octopus
XX39cf74dd,grilled fish
HI51ot57ge,roast suckling pig
ZQ20xh58yy,goulash
YM80mh13qq,snacks
KR35bg49cq,omelettes
DO38yx44rc,strawberry
GZ89fx35gj,ice cream
PN79ex38kl,pepper
KW43gs52vd,parmesan
JH35ea55et,cuit
EE07ps69ee,gingembre
MG28qz98nm,sardines fumées
FR91jo43ce,girolles
BS46ua32mw,citron
JK87rw98bk,entrees
VX49cr32fe,honey
HY73th23zl,aubergines
SR49cc60sv,cod fish
BK92mk40lr,eggs
MO33kr66dk,food
SX09fc71uj,shrimp
QL86wk92dn,artichoke
OB42ns86hv,gins
GK93se89dl,scotches
FV55mu67gc,bourbons
DU95ep39uw,ryes
OR62sr54gg,salmon
EQ38fo16yt,veal
IS77ub72pr,croquettes
KZ30zy78md,crabmeat
ZS94qm96cx,lamb chops
GF51tz14qm,steamed shrimp
PG02ri31mh,beer
NU35xl17tj,french fries
EK02cw46ef,brunch
MW02ey51yx,eggs benedict
YW53ng79qm,olives
RY79mj67er,roasted tomatoes
NO29di22nv,peppers
IJ07bu40oq,perfection
AN22is10qa,apple pie
WA02yh68cs,cream
BE73ze75uh,bacalao
UT72uo17ec,vinos
ZM07bm71hf,postres
BQ23uv84si,orange
TD80hc76if,mint
KF41os83ll,desserts
BK59tv17fy,coffee
BF68yr18fz,cornbread
BR75oe93sb,scrambled egg
HC84gc70vi,tortillas
BW75uw37dj,nachos
TV05uz70gk,fruit
ZC35vc94gq,yoghurt
CU62wr52bt,cakes
UA41pd35kh,cappuccino
US00ee23pb,sausages
QM21ou19mp,bell peppers
EA84bd54ju,brie cheese
LM55wd65te,fillet steak
KM07sv55zu,cream potatoes
SB57ti64ah,tortellini
JU46ok43be,sauce
VG76am68pd,cream sauce
JW92hg27yw,egg
WH04vt41bt,eggplant
DS34km47ln,anchovy
CA46um94xw,scrambled eggs
ZA02eu05ve,chorizos
IX48po90oy,2
QH22hr22na,sirloin
TV94gc87sd,corn
IM00lm32kp,roast beef
SQ94yj35yb,seafood
QZ88or47hj,appetisers
KD76po00gu,mushroom omelet
NF55yn90vk,shrimp tacos
MJ26kl60rh,fresh cut fruit
ZK87sb72xz,salads
FQ13gu28aw,ice
DZ70uj27ld,beverage
NE67ck91id,razor clams
QZ82mf79jx,fish
RK28wp89wl,tofu
IV28xx38cv,homemade noodles
DF62ml08ou,pork
XI60aq24wx,boiled egg
JU98yb92tn,fresh mint
FA69ge07al,creme brulee
KM57th96hn,hazelnut
KI82bv39eu,pistachio
WL22io01ew,calamari salad
NZ87ym19fl,breakfast food
UF18qi61tp,goat cheese
IZ65qb34dt,burger
PT02vr00ub,cool
JT59cv35nr,avocado
NX04nk96do,smoked salmon
EH45rh37pc,creme catalan
CF08wg97ww,red peppers
ZH24fe23qy,orange juice
SU29pt70vg,delicious coffee
CG73tz39qi,specials
