tag_id,merge_id
HU90jm17ay,439850603726543800
HU90jm17ay,16044738895637471e3
HU90jm17ay,3465297536589657600
HU90jm17ay,9649394530604374e3
HU90jm17ay,7084488651997203e3
HU90jm17ay,8008319378092574e3
HU90jm17ay,871553771032069e4
HU90jm17ay,17612257900333812e3
HU90jm17ay,9111802159654974e3
HU90jm17ay,4707340726775955e3
HU90jm17ay,15243946114243674e3
HU90jm17ay,1378730467355674e4
HU90jm17ay,2859631393060154400
HU90jm17ay,12331863777399628e3
HU90jm17ay,16885772437288163e3
HU90jm17ay,1695554408742521e4
HU90jm17ay,9833219823576703e3
KW17ll37tm,439850603726543800
KW17ll37tm,5679350108257501e3
KW17ll37tm,9811995654511847e3
KW17ll37tm,9847708135568026e3
KW17ll37tm,1378730467355674e4
KW17ll37tm,17020298718956954e3
KW17ll37tm,6300271329276407e3
KW17ll37tm,2415238445145904e3
KW17ll37tm,2807909795938915300
KW17ll37tm,3292315603162941400
KW17ll37tm,4282801845833658400
KW17ll37tm,6007561697321726e3
KW17ll37tm,8426355565606238e3
KW17ll37tm,9327271848780018e3
KW17ll37tm,558541714439052540
KW17ll37tm,4639744424675641e3
KW17ll37tm,872984325001112e4
KW17ll37tm,12039085070526159e3
KW17ll37tm,10145244416962406e3
KW17ll37tm,15829033124062822e3
KW17ll37tm,1659774926633351e4
KW17ll37tm,4421849723265939500
KW17ll37tm,5679476552482189e3
KW17ll37tm,13594559663509918e3
KW17ll37tm,8682716629384367e3
KW17ll37tm,3346053413088334e3
KW17ll37tm,5722772033988647e3
KW17ll37tm,8207496078150552e3
KW17ll37tm,961742290172115e4
KW17ll37tm,12350579208279808e3
KW17ll37tm,178670027174347e5
KW17ll37tm,7477850461513016e3
KW17ll37tm,11475478972569709e3
KW17ll37tm,3581630705297017e3
KW17ll37tm,6522841349610931e3
KW17ll37tm,9524959285937189e3
KW17ll37tm,17089001682395136e3
KW17ll37tm,7077460856892052e3
KW17ll37tm,9411867588496669e3
KW17ll37tm,1630829352838223e4
KW17ll37tm,1116150921025838100
KW17ll37tm,11368257517498724e3
KW17ll37tm,16021458388115081e3
